epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4456,2.43252,3.16405,2.32422,0.00589,0.67949,0.055,0.01604,2.39838,3.49257,2.35458,0.00044,0.00044,0.00044
2,121.611,2.14884,2.88712,2.18115,0.00711,0.82051,0.0472,0.01505,2.42206,3.32127,2.34917,0.00088218,0.00088218,0.00088218
3,172.704,2.14001,2.79369,2.11093,0.02461,0.4359,0.03418,0.00741,2.67559,3.38756,2.86342,0.00130614,0.00130614,0.00130614
4,226.793,2.18336,2.77007,2.13937,0.07106,0.18342,0.03187,0.00792,2.50222,3.72239,2.77381,0.00171189,0.00171189,0.00171189
5,289.132,2.18932,2.72854,2.21946,0.03825,0.12821,0.02842,0.0073,2.54485,5.12974,3.06575,0.0018416,0.0018416,0.0018416
6,339.361,2.16023,2.67818,2.18257,0.06806,0.26923,0.03365,0.00977,2.49715,6.3377,2.81132,0.001802,0.001802,0.001802
7,389.687,2.16073,2.68803,2.1844,0.07919,0.12821,0.05656,0.02209,2.54431,4.40448,2.699,0.0017624,0.0017624,0.0017624
8,440.186,2.08722,2.68035,2.14547,0.06567,0.17949,0.0327,0.0082,2.6938,5.41436,2.98805,0.0017228,0.0017228,0.0017228
9,490.244,2.06419,2.628,2.11839,0.07447,0.19231,0.05745,0.02153,2.62409,3.12809,2.71214,0.0016832,0.0016832,0.0016832
10,549.732,2.03805,2.59459,2.08846,0.03759,0.11538,0.01943,0.00527,2.72652,4.08322,2.82206,0.0016436,0.0016436,0.0016436
11,601.491,2.06035,2.59707,2.11852,0.09368,0.23077,0.06188,0.01613,2.52153,4.08778,2.65923,0.001604,0.001604,0.001604
12,650.306,2.06943,2.57705,2.13959,0.09045,0.25641,0.06224,0.0191,2.39448,5.06179,2.71509,0.0015644,0.0015644,0.0015644
13,699.059,1.94604,2.54382,2.08818,0.20665,0.19231,0.1131,0.03126,2.38005,3.00906,2.50814,0.0015248,0.0015248,0.0015248
14,749.879,1.9503,2.4522,2.04679,0.17829,0.21795,0.14862,0.03376,2.44417,2.96803,2.47208,0.0014852,0.0014852,0.0014852
15,801.74,1.92818,2.44047,2.03806,0.14857,0.20137,0.10389,0.02858,2.30369,3.01006,2.33358,0.0014456,0.0014456,0.0014456
16,851.372,1.92854,2.40228,1.98104,0.17635,0.11538,0.0764,0.01862,2.584,3.30005,2.5924,0.001406,0.001406,0.001406
17,901.285,1.91021,2.38774,2.00465,0.1188,0.24359,0.11115,0.03952,2.35377,3.02135,2.47925,0.0013664,0.0013664,0.0013664
18,950.677,1.89594,2.35722,2.02965,0.09471,0.25641,0.08624,0.02982,2.37662,3.17065,2.52357,0.0013268,0.0013268,0.0013268
19,1000.35,1.87361,2.28991,1.96409,0.15533,0.20513,0.1181,0.03791,2.33098,2.85667,2.45248,0.0012872,0.0012872,0.0012872
20,1061.23,1.87041,2.33804,1.96843,0.15492,0.25641,0.10324,0.03473,2.42293,2.98337,2.47916,0.0012476,0.0012476,0.0012476
21,1232.62,1.85982,2.2926,1.95455,0.09711,0.23077,0.06098,0.0204,2.44171,3.23134,2.4941,0.001208,0.001208,0.001208
22,1281.44,1.82511,2.29342,1.9443,0.13506,0.16817,0.08272,0.0278,2.41915,2.8941,2.5414,0.0011684,0.0011684,0.0011684
23,1330.5,1.787,2.1728,1.89518,0.21619,0.19097,0.1092,0.03748,2.35793,2.84949,2.53263,0.0011288,0.0011288,0.0011288
24,1379.71,1.73568,2.14351,1.87098,0.17886,0.21795,0.12415,0.0385,2.34675,2.922,2.51139,0.0010892,0.0010892,0.0010892
25,1429.26,1.7241,2.14069,1.88522,0.2051,0.23077,0.13599,0.04152,2.33386,2.78891,2.46335,0.0010496,0.0010496,0.0010496
26,1487.66,1.70234,2.12812,1.87533,0.19031,0.34615,0.13986,0.03951,2.38889,2.71681,2.5332,0.00101,0.00101,0.00101
27,1840.04,1.72795,2.08557,1.87734,0.20059,0.25641,0.14129,0.04952,2.45112,2.92058,2.59504,0.0009704,0.0009704,0.0009704
28,1889.74,1.6928,2.01918,1.82038,0.14346,0.24359,0.1133,0.0401,2.44281,3.01304,2.56303,0.0009308,0.0009308,0.0009308
29,1939,1.68696,2.00207,1.84141,0.19771,0.20513,0.12792,0.045,2.41202,2.80403,2.56603,0.0008912,0.0008912,0.0008912
30,1987.99,1.64648,1.97292,1.8036,0.19308,0.23077,0.12924,0.04715,2.40735,2.69471,2.5459,0.0008516,0.0008516,0.0008516
31,2037.56,1.66187,1.94832,1.82505,0.20422,0.26923,0.15434,0.0553,2.38481,2.68199,2.53622,0.000812,0.000812,0.000812
32,2092.13,1.63413,1.96806,1.80517,0.15672,0.26923,0.12726,0.04754,2.45605,2.72578,2.57401,0.0007724,0.0007724,0.0007724
33,2142.14,1.62607,1.97455,1.79409,0.18578,0.21795,0.13238,0.04567,2.4004,2.77467,2.54223,0.0007328,0.0007328,0.0007328
34,2190.59,1.60366,1.84588,1.73224,0.21078,0.34615,0.17144,0.05675,2.51326,2.68299,2.60156,0.0006932,0.0006932,0.0006932
35,2239.62,1.58421,1.82815,1.75789,0.27849,0.24359,0.16503,0.05336,2.47871,2.67474,2.58842,0.0006536,0.0006536,0.0006536
36,2288.19,1.56479,1.79979,1.7357,0.17922,0.31635,0.1253,0.03769,2.46519,2.74075,2.62069,0.000614,0.000614,0.000614
37,2336.71,1.56437,1.78599,1.73835,0.24769,0.20513,0.12483,0.03942,2.45731,2.6949,2.59276,0.0005744,0.0005744,0.0005744
38,2397.06,1.54737,1.74499,1.72789,0.26265,0.25641,0.1792,0.04814,2.47912,2.66747,2.60526,0.0005348,0.0005348,0.0005348
39,2521.64,1.46481,1.65418,1.63845,0.29076,0.25641,0.15493,0.04246,2.57132,2.75968,2.65167,0.0004952,0.0004952,0.0004952
40,2571.32,1.5274,1.74924,1.71565,0.21872,0.34615,0.14385,0.0407,2.59649,2.73932,2.65671,0.0004556,0.0004556,0.0004556
41,2620.56,1.49545,1.7086,1.68792,0.23548,0.26923,0.13157,0.04129,2.49627,2.68876,2.60857,0.000416,0.000416,0.000416
42,2669.77,1.53168,1.66947,1.71014,0.14561,0.28205,0.1113,0.03854,2.45059,2.85583,2.58055,0.0003764,0.0003764,0.0003764
43,2718.52,1.43932,1.63431,1.66,0.23478,0.17949,0.12441,0.03438,2.41411,2.87708,2.53693,0.0003368,0.0003368,0.0003368
44,2772.03,1.39664,1.52966,1.60142,0.24932,0.23077,0.15066,0.04548,2.43371,2.77816,2.58308,0.0002972,0.0002972,0.0002972
45,2959.66,1.41057,1.54106,1.618,0.28335,0.29487,0.17656,0.05491,2.50015,2.72972,2.64592,0.0002576,0.0002576,0.0002576
46,3008.71,1.38638,1.55564,1.60813,0.28499,0.28205,0.17513,0.05575,2.46813,2.73784,2.63443,0.000218,0.000218,0.000218
47,3056.5,1.3747,1.51168,1.59331,0.33384,0.29487,0.17104,0.05309,2.49249,2.68614,2.65191,0.0001784,0.0001784,0.0001784
