epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.81,1.55062,2.50986,1.5916,0.35901,0.41439,0.31423,0.16519,1.69513,3.11039,2.11255,0.000553505,0.000553505,0.000553505
2,1660.02,1.52407,2.00964,1.54488,0.3875,0.3445,0.30094,0.1531,1.95634,2.54963,2.14177,0.00108721,0.00108721,0.00108721
3,2430.76,1.50523,1.88913,1.53671,0.52867,0.42435,0.44271,0.24856,1.85302,2.2118,2.13078,0.00159891,0.00159891,0.00159891
4,3229.68,1.45769,1.77663,1.50713,0.53521,0.5148,0.50092,0.30997,1.46998,1.88825,1.7279,0.00156798,0.00156798,0.00156798
5,4002.89,1.36985,1.619,1.44822,0.62639,0.51723,0.55473,0.34501,1.57282,1.88059,1.83069,0.00153497,0.00153497,0.00153497
6,4733.02,1.34203,1.54535,1.42337,0.67247,0.57428,0.60921,0.39846,1.40826,1.58108,1.58059,0.00150197,0.00150197,0.00150197
7,6434.59,1.27592,1.45632,1.39086,0.57153,0.5745,0.57433,0.38386,1.39818,1.60625,1.63492,0.00146896,0.00146896,0.00146896
8,7596.58,1.25845,1.42346,1.37376,0.67469,0.6092,0.65624,0.44454,1.33923,1.51136,1.55019,0.00143595,0.00143595,0.00143595
9,10276,1.22276,1.36994,1.34883,0.63453,0.60142,0.61831,0.41112,1.38336,1.6034,1.56736,0.00140295,0.00140295,0.00140295
10,11434.9,1.19768,1.31885,1.33475,0.76935,0.63064,0.68261,0.46809,1.27752,1.36588,1.46933,0.00136994,0.00136994,0.00136994
11,12508.8,1.16239,1.29198,1.31466,0.77243,0.62512,0.67475,0.47887,1.24045,1.33557,1.46703,0.00133693,0.00133693,0.00133693
12,13557.9,1.14235,1.24163,1.29804,0.80439,0.656,0.70152,0.49667,1.23483,1.28607,1.45772,0.00130393,0.00130393,0.00130393
13,15210.6,1.1286,1.21099,1.28998,0.73705,0.65169,0.68493,0.49332,1.19579,1.27157,1.40422,0.00127092,0.00127092,0.00127092
14,16166.5,1.10823,1.18894,1.27558,0.73968,0.67582,0.70387,0.51252,1.18797,1.22109,1.4152,0.00123791,0.00123791,0.00123791
15,17053.3,1.09397,1.17472,1.26819,0.75884,0.65926,0.7031,0.50784,1.19344,1.23421,1.40462,0.00120491,0.00120491,0.00120491
16,17747.8,1.07607,1.13796,1.25389,0.81279,0.65023,0.70623,0.52192,1.20144,1.19659,1.4445,0.0011719,0.0011719,0.0011719
17,18461.7,1.04787,1.12134,1.24401,0.80059,0.66655,0.70215,0.5191,1.15277,1.19993,1.37477,0.00113889,0.00113889,0.00113889
18,19241.3,1.03784,1.08206,1.23789,0.81335,0.65756,0.72129,0.54122,1.14514,1.13549,1.35963,0.00110589,0.00110589,0.00110589
19,20041.1,1.03584,1.09671,1.232,0.81286,0.6587,0.71996,0.53558,1.16024,1.17324,1.36492,0.00107288,0.00107288,0.00107288
20,20825,1.02127,1.07213,1.22442,0.81833,0.67225,0.71889,0.53768,1.12787,1.14869,1.38325,0.00103987,0.00103987,0.00103987
21,22743.9,1.00991,1.04904,1.22151,0.8074,0.67684,0.73711,0.55125,1.11458,1.08377,1.38782,0.00100687,0.00100687,0.00100687
22,25648.9,0.99535,1.01409,1.20651,0.80758,0.67141,0.72243,0.54063,1.16168,1.15028,1.39938,0.000973861,0.000973861,0.000973861
23,26746.7,0.99554,1.01827,1.21079,0.86415,0.66238,0.73026,0.55386,1.07554,1.09444,1.33054,0.000940855,0.000940855,0.000940855
24,27642.2,0.97755,1.00411,1.19282,0.81611,0.67111,0.72408,0.56286,1.08452,1.09719,1.30673,0.000907848,0.000907848,0.000907848
25,28329.5,0.96819,0.99143,1.19839,0.77533,0.67891,0.72325,0.55029,1.08791,1.16999,1.33822,0.000874842,0.000874842,0.000874842
26,29017.6,0.95591,0.97001,1.18248,0.83504,0.66652,0.73573,0.56647,1.08915,1.10767,1.30633,0.000841835,0.000841835,0.000841835
27,29736.6,0.94237,0.9583,1.17831,0.84337,0.66004,0.7278,0.56772,1.05104,1.1035,1.30915,0.000808828,0.000808828,0.000808828
28,30483.8,0.93333,0.93981,1.1736,0.77666,0.68469,0.73433,0.57263,1.04771,1.07012,1.28887,0.000775822,0.000775822,0.000775822
29,58748.7,0.9386,0.93488,1.1733,0.79302,0.69339,0.74103,0.5737,1.03246,1.02531,1.28989,0.000742815,0.000742815,0.000742815
30,59812.7,0.90414,0.90084,1.15015,0.85436,0.68151,0.74959,0.57961,1.01307,0.99954,1.25048,0.000709809,0.000709809,0.000709809
31,60726.9,0.90416,0.89612,1.15785,0.80875,0.69268,0.74231,0.57591,1.00447,1.04952,1.23405,0.000676802,0.000676802,0.000676802
32,61427.7,0.88461,0.87261,1.14911,0.81273,0.70512,0.7548,0.59095,0.98781,0.99172,1.25909,0.000643795,0.000643795,0.000643795
33,62462.7,0.87929,0.86434,1.13928,0.81493,0.69828,0.74675,0.58945,0.9943,1.01177,1.24127,0.000610789,0.000610789,0.000610789
34,63162.4,0.87827,0.86166,1.13988,0.84123,0.66855,0.74456,0.58083,0.99261,1.02279,1.23576,0.000577782,0.000577782,0.000577782
35,63867.1,0.87198,0.84837,1.13343,0.83724,0.69464,0.75237,0.59526,0.98001,1.01074,1.22579,0.000544776,0.000544776,0.000544776
36,64565.2,0.86002,0.83088,1.12719,0.83691,0.68275,0.75192,0.59632,0.96132,1.01318,1.20775,0.000511769,0.000511769,0.000511769
37,65257.4,0.86135,0.82347,1.12565,0.83658,0.69911,0.75476,0.60851,0.93094,0.97398,1.19309,0.000478762,0.000478762,0.000478762
38,65956.9,0.8448,0.8049,1.11782,0.80355,0.69952,0.74724,0.59864,0.96125,0.98257,1.20265,0.000445756,0.000445756,0.000445756
39,66660.1,0.8279,0.79341,1.10486,0.80557,0.69662,0.74989,0.60038,0.94995,0.98873,1.20234,0.000412749,0.000412749,0.000412749
40,67551.1,0.82171,0.7796,1.10676,0.81346,0.68848,0.75452,0.59998,0.95724,0.95695,1.2157,0.000379743,0.000379743,0.000379743
41,68661.5,0.78645,0.77442,1.13957,0.83388,0.68733,0.75254,0.60803,0.93148,0.95382,1.18416,0.000346736,0.000346736,0.000346736
42,69889.3,0.74911,0.72266,1.11448,0.81525,0.71689,0.75661,0.6131,0.91188,0.92728,1.17282,0.000313729,0.000313729,0.000313729
43,71522.7,0.73206,0.68388,1.09576,0.8078,0.72025,0.76426,0.62037,0.89419,0.90951,1.1557,0.000280723,0.000280723,0.000280723
44,73115.2,0.71987,0.68061,1.08991,0.77851,0.73449,0.76416,0.62385,0.88483,0.90427,1.14698,0.000247716,0.000247716,0.000247716
45,74131.3,0.69697,0.6423,1.07915,0.83037,0.71823,0.76404,0.62674,0.87728,0.88895,1.14745,0.00021471,0.00021471,0.00021471
46,75194.4,0.69847,0.64147,1.07247,0.80473,0.71919,0.7618,0.62304,0.88519,0.8926,1.15368,0.000181703,0.000181703,0.000181703
47,75938.3,0.68032,0.62796,1.0643,0.80915,0.72736,0.76899,0.63134,0.87204,0.86223,1.14283,0.000148696,0.000148696,0.000148696
48,76731.4,0.66399,0.6127,1.05765,0.82353,0.73266,0.77283,0.63679,0.86076,0.86475,1.1379,0.00011569,0.00011569,0.00011569
49,79402.3,0.6577,0.60093,1.05132,0.81187,0.73087,0.77228,0.63465,0.85864,0.86809,1.13711,8.26832e-05,8.26832e-05,8.26832e-05
50,80179.4,0.65039,0.58972,1.04388,0.82522,0.7316,0.77566,0.63986,0.85256,0.86393,1.13635,4.96766e-05,4.96766e-05,4.96766e-05
